sigungu,mdate,mdate_origin,rate_lag,d_job,S_lag,S,A,L,ksic1_code,ksic1,jobbig_code,job_big
전국,01-Aug,2022년08월,0.003327502,"49,468","14,866,406","14,905,396","606,136","556,668",22,전산업,20,전직종
전국,01-Sep,2022년09월,0.002959331,"44,110","14,905,396","14,939,136","617,098","572,988",22,전산업,20,전직종
전국,01-Oct,2022년10월,0.003926331,"58,656","14,939,136","14,982,632","582,018","523,362",22,전산업,20,전직종
전국,01-Nov,2022년11월,0.001240703,"18,589","14,982,632","14,996,020","587,773","569,184",22,전산업,20,전직종
전국,01-Dec,2022년12월,-0.005823412,"-87,328","14,996,020","14,898,502","551,112","638,440",22,전산업,20,전직종
전국,01-Jan,2023년01월,-0.008582608,"-127,868","14,898,502","14,761,181","810,733","938,601",22,전산업,20,전직종
전국,01-Feb,2023년02월,0.014124547,"208,495","14,761,181","14,958,108","750,996","542,501",22,전산업,20,전직종
전국,01-Mar,2023년03월,0.007933223,"118,666","14,958,108","15,053,452","902,301","783,635",22,전산업,20,전직종
전국,01-Apr,2023년04월,0.007302179,"109,923","15,053,452","15,154,833","693,339","583,416",22,전산업,20,전직종
전국,01-May,2023년05월,0.003140516,"47,594","15,154,833","15,197,643","572,953","525,359",22,전산업,20,전직종
전국,01-Jun,2023년06월,0.002762534,"41,984","15,197,643","15,229,122","590,675","548,691",22,전산업,20,전직종
전국,01-Jul,2023년07월,0.00138373,"21,073","15,229,122","15,242,678","645,652","624,579",22,전산업,20,전직종
전국,01-Aug,2023년08월,0.002521867,"38,440","15,242,678","15,270,762","594,749","556,309",22,전산업,20,전직종
전국,01-Sep,2023년09월,0.002741252,"41,861","15,270,762","15,301,439","606,312","564,451",22,전산업,20,전직종
전국,01-Oct,2023년10월,0.002655698,"40,636","15,301,439","15,327,692","520,518","479,882",22,전산업,20,전직종
전국,01-Nov,2023년11월,0.000925971,"14,193","15,327,692","15,334,775","571,986","557,793",22,전산업,20,전직종
